0.000,0.005,0.172,-0.000,0.031
0.000,0.010,0.315,-0.000,0.031
-0.001,0.014,0.433,0.002,0.033
-0.001,0.018,0.532,0.002,0.033
-0.001,0.021,0.612,0.002,0.034
-0.002,0.023,0.680,0.003,0.034
-0.002,0.025,0.734,0.003,0.034
-0.003,0.028,0.780,0.003,0.035
-0.002,0.030,0.819,0.003,0.036
-0.002,0.031,0.850,0.002,0.036
-0.002,0.031,0.876,0.003,0.036
-0.003,0.033,0.898,0.003,0.036
-0.003,0.033,0.916,0.003,0.036
-0.002,0.033,0.932,0.002,0.035
-0.003,0.033,0.944,0.003,0.034
-0.003,0.033,0.954,0.003,0.035
-0.002,0.033,0.963,0.002,0.035
-0.003,0.034,0.970,0.003,0.035
-0.003,0.034,0.977,0.003,0.035
-0.002,0.035,0.982,0.002,0.036
-0.003,0.036,0.985,0.003,0.036
-0.003,0.036,0.990,0.003,0.036
-0.002,0.035,0.992,0.002,0.035
-0.002,0.034,0.994,0.002,0.035
-0.002,0.035,0.995,0.002,0.035
-0.002,0.035,0.997,0.002,0.035
-0.002,0.036,0.997,0.002,0.036
-0.002,0.036,1.000,0.002,0.036
-0.002,0.036,1.001,0.002,0.036
-0.001,0.036,1.001,0.001,0.035
-0.002,0.035,1.002,0.002,0.035
-0.001,0.035,1.003,0.001,0.035
-0.001,0.035,1.004,0.001,0.035
-0.002,0.035,1.004,0.002,0.035
-0.001,0.036,1.003,0.001,0.036
-0.002,0.037,1.004,0.002,0.036
-0.002,0.037,1.004,0.002,0.037
-0.002,0.037,1.005,0.002,0.036
-0.003,0.036,1.004,0.003,0.036
-0.003,0.037,1.003,0.003,0.037
-0.002,0.037,1.003,0.002,0.036
-0.003,0.036,1.003,0.003,0.036
-0.003,0.036,1.005,0.003,0.036
-0.002,0.036,1.005,0.002,0.036
-0.003,0.036,1.005,0.003,0.036
-0.004,0.036,1.006,0.004,0.036
-0.003,0.036,1.005,0.003,0.036
-0.003,0.036,1.005,0.003,0.036
-0.003,0.036,1.005,0.003,0.036
-0.003,0.036,1.005,0.003,0.036
-0.003,0.036,1.006,0.003,0.036
-0.002,0.036,1.005,0.002,0.036
-0.003,0.036,1.006,0.003,0.036
-0.003,0.036,1.004,0.003,0.036
-0.005,0.036,1.003,0.005,0.036
-0.005,0.035,1.003,0.005,0.035
-0.004,0.038,1.002,0.004,0.038
-0.004,0.035,1.003,0.004,0.035
-0.001,0.039,1.004,0.001,0.039
-0.004,0.040,1.005,0.004,0.039
-0.004,0.040,1.007,0.004,0.040
-0.004,0.039,1.006,0.004,0.038
